,State,State_Abv,State_Code,Total,Auto,Browsing,Refinance,Personal,Purchase,Housing,Express_Visited,Form_Start,Form_Submit,TreeAuthID,Top1,Top2,Top3,ratio_submitted_vs_total,ratio_submitted_vs_started
0,alabama,AL,1,24074,494,6975,9997,3428,1767,1014,1892,13237,1628,2035,Refinance,Browsing,Personal,6.76,12.3
1,alaska,AK,2,2361,39,723,1047,226,176,113,185,1288,159,175,Refinance,Browsing,Personal,6.73,12.34
2,arizona,AZ,4,37546,791,10729,17735,3270,2954,1415,2492,20768,2086,2363,Refinance,Browsing,Personal,5.56,10.04
3,arkansas,AR,5,10592,276,3025,4703,1109,829,465,804,5870,695,828,Refinance,Browsing,Personal,6.56,11.84
4,california,CA,6,237580,5005,73375,101992,27192,16521,9320,15574,128208,13033,14497,Refinance,Browsing,Personal,5.49,10.17
5,colorado,CO,8,33283,809,10256,14935,2888,2580,1333,2226,17789,1865,2181,Refinance,Browsing,Personal,5.6,10.48
6,connecticut,CT,9,19926,441,5767,9475,1708,1408,839,1282,11271,1096,1310,Refinance,Browsing,Personal,5.5,9.72
7,delaware,DE,10,6393,122,1882,2966,602,471,240,403,3539,347,400,Refinance,Browsing,Personal,5.43,9.81
8,florida,FL,12,143024,2955,39953,65701,13516,11982,6204,9274,79450,7828,9424,Refinance,Browsing,Personal,5.47,9.85
9,georgia,GA,13,83223,1957,25051,34092,11433,6255,3014,6800,44870,5744,7048,Refinance,Browsing,Personal,6.9,12.8
10,hawaii,HI,15,6579,103,1828,3022,769,393,331,420,3803,367,433,Refinance,Browsing,Personal,5.58,9.65
11,idaho,ID,16,6792,99,2346,2882,571,486,292,425,3473,346,410,Refinance,Browsing,Personal,5.09,9.96
12,illinois,IL,17,82380,1846,25869,33829,10781,5811,2949,6008,44074,5165,6066,Refinance,Browsing,Personal,6.27,11.72
13,indiana,IN,18,30245,727,8892,13040,3581,2274,1225,2331,16734,1976,2269,Refinance,Browsing,Personal,6.53,11.81
14,iowa,IA,19,12269,267,3762,5388,1233,858,540,792,6711,663,780,Refinance,Browsing,Personal,5.4,9.88
15,kansas,KS,20,12135,278,3802,5248,1249,919,400,842,6494,702,864,Refinance,Browsing,Personal,5.78,10.81
16,kentucky,KY,21,17532,405,5256,7479,2044,1319,766,1404,9562,1205,1290,Refinance,Browsing,Personal,6.87,12.6
17,louisiana,LA,22,16798,408,4842,7420,1807,1245,708,1168,9421,991,1203,Refinance,Browsing,Personal,5.9,10.52
18,maine,ME,23,5841,121,1737,2632,555,427,252,370,3210,324,395,Refinance,Browsing,Personal,5.55,10.09
19,maryland,MD,24,38279,843,11010,17598,4114,2792,1351,2554,21301,2138,2726,Refinance,Browsing,Personal,5.59,10.04
20,massachusetts,MA,25,40234,969,12061,18625,3488,2829,1693,2361,22172,2004,2605,Refinance,Browsing,Personal,4.98,9.04
21,michigan,MI,26,49102,979,14785,21410,5370,3644,2139,3446,26729,2978,3579,Refinance,Browsing,Personal,6.06,11.14
22,minnesota,MN,27,26614,671,8043,11966,2529,2061,952,1677,14438,1406,1700,Refinance,Browsing,Personal,5.28,9.74
23,mississippi,MS,28,10662,253,2971,4507,1494,794,441,900,6010,786,895,Refinance,Browsing,Personal,7.37,13.08
24,missouri,MO,29,26969,696,8716,10982,3079,2030,1008,2029,14095,1739,2016,Refinance,Browsing,Personal,6.45,12.34
25,montana,MT,30,4185,92,1203,1970,331,340,164,261,2322,231,228,Refinance ,Browsing,Purchase,5.52,9.95
26,nebraska,NE,31,9949,266,3074,4211,1092,747,406,706,5368,624,685,Refinance ,Browsing,Personal,6.27,11.62
27,nevada,NV,32,16578,380,4905,7113,1819,1319,732,1244,8905,1042,1255,Refinance ,Browsing,Personal,6.29,11.7
28,new hampshire,NH,33,7021,176,2069,3264,539,545,322,492,3835,437,439,Refinance,Browsing,Personal,6.22,11.4
29,new jersey,NJ,34,58758,1159,17759,26575,5847,4108,2380,3645,32322,3040,3805,Refinance,Browsing,Personal,5.17,9.41
30,new mexico,NM,35,7996,156,2391,3544,851,580,328,585,4349,497,538,Refinance,Browsing,Personal,6.22,11.43
31,new york,NY,36,101258,1851,31087,44079,11134,7397,4106,6935,55243,5856,7903,Refinance,Browsing,Purchase,5.78,10.6
32,north carolina,NC,37,63447,1469,18709,26943,7604,5237,2431,4767,34150,4065,4993,Refinance,Browsing,Personal,6.41,11.9
33,north dakota,ND,38,3102,95,929,1344,336,216,136,215,1734,187,186,Refinance,Browsing,Personal,6.03,10.78
34,ohio,OH,39,62988,1546,18943,26978,7470,4789,2323,4881,34349,4168,4794,Refinance,Browsing,Personal,6.62,12.13
35,oklahoma,OK,40,14211,349,4271,5905,1695,1110,583,1148,7643,982,1136,Refinance,Browsing,Personal,6.91,12.85
36,oregon,OR,41,20994,430,6422,9517,1828,1649,809,1326,11279,1119,1194,Refinance,Browsing,Personal,5.33,9.92
37,pennsylvania,PA,42,76976,1630,23338,33017,8897,5430,3286,5531,42008,4698,5524,Refinance,Browsing,Personal,6.1,11.18
38,rhode island,RI,44,5255,138,1425,2542,509,318,231,360,3119,291,403,Refinance,Browsing,Personal,5.54,9.33
39,south carolina,SC,45,24274,530,7034,10525,2787,1935,997,1812,13247,1585,1807,Refinance,Browsing,Personal,6.53,11.96
40,south dakota,SD,46,2909,76,915,1256,270,214,127,197,1578,165,198,Refinance,Browsing,Personal,5.67,10.46
41,tennessee,TN,47,34908,765,10319,14791,4202,2862,1328,2660,18734,2278,2870,Refinance,Browsing,Personal,6.53,12.16
42,texas,TX,48,166520,4070,50484,68050,21030,13398,6376,13097,89036,11006,13138,Refinance,Browsing,Personal,6.61,12.36
43,utah,UT,49,13458,220,4065,6070,1065,1249,547,883,7224,763,673,Refinance,Browsing,Purchase,5.67,10.56
